Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
NURS 47000 - Adult Acute Illness/ Immersion Clinical ,NURS,NURS 47000 , Adult Acute Illness/ Immersion Clinical ,47000 ,Nursing
NURS 48000 - Promotion of Wellness in the Community ,NURS,NURS 48000 , Promotion of Wellness in the Community ,48000 ,Nursing
NURS 48200 - Advancement of Roles and Relationships in Professional Nursing ,NURS,NURS 48200 , Advancement of Roles and Relationships in Professional Nursing ,48200 ,Nursing
NURS 49000 - Gerontological Nursing ,NURS,NURS 49000 , Gerontological Nursing ,49000 ,Nursing
NURS 49100 - Gerontology for Nurses ,NURS,NURS 49100 , Gerontology for Nurses ,49100 ,Nursing
NURS 49200 - Advanced Synthesis of Nursing Knowledge ,NURS,NURS 49200 , Advanced Synthesis of Nursing Knowledge ,49200 ,Nursing
NURS 34000 - Women's Health ,NURS,NURS 34000 , Women's Health ,34000 ,Nursing
NURS 34200 - Ethical Issues in Nursing Practice ,NURS,NURS 34200 , Ethical Issues in Nursing Practice ,34200 ,Nursing
NURS 34500 - HIV/AIDS: An Interdisciplinary Perspective for Health Care Providers ,NURS,NURS 34500 , HIV/AIDS: An Interdisciplinary Perspective for Health Care Providers ,34500 ,Nursing
NURS 34600 - Death and Dying ,NURS,NURS 34600 , Death and Dying ,34600 ,Nursing
NURS 35000 - Independent Study in Nursing ,NURS,NURS 35000 , Independent Study in Nursing ,35000 ,Nursing
"NURS 35100 - Gender, Science and Technology ",NURS,NURS 35100 ," Gender, Science and Technology ",35100 ,Nursing
NURS 39998 - Urban Disaster Response and the Health Care Team ,NURS,NURS 39998 , Urban Disaster Response and the Health Care Team ,39998 ,Nursing
NURS 44000 - Stress Management for Nurses ,NURS,NURS 44000 , Stress Management for Nurses ,44000 ,Nursing
NURS 44100 - Selected Studies in Nursing Research ,NURS,NURS 44100 , Selected Studies in Nursing Research ,44100 ,Nursing
NURS 44200 - Nursing Care of Acute and Critically Ill Clients ,NURS,NURS 44200 , Nursing Care of Acute and Critically Ill Clients ,44200 ,Nursing
NURS 44500 - Teaching-Learning Across the Developmental and Health Continua ,NURS,NURS 44500 , Teaching-Learning Across the Developmental and Health Continua ,44500 ,Nursing
NURS 45000 - Computer Concepts and Application in Nursing ,NURS,NURS 45000 , Computer Concepts and Application in Nursing ,45000 ,Nursing
NURS 48300 - Politics of Health ,NURS,NURS 48300 , Politics of Health ,48300 ,Nursing
NURS 49500 - Writing for Health Professionals: A Course for Undergraduates ,NURS,NURS 49500 , Writing for Health Professionals: A Course for Undergraduates ,49500 ,Nursing
NFS 13100 - Food Science I ,NFS,NFS 13100 , Food Science I ,13100 ,Nutrition and Food Sciences
NFS 14100 - Nutrition ,NFS,NFS 14100 , Nutrition ,14100 ,Nutrition and Food Sciences
NFS 33200 - Cultural Aspects of Food and Nutrition ,NFS,NFS 33200 , Cultural Aspects of Food and Nutrition ,33200 ,Nutrition and Food Sciences
NFS 33300 - Nutrition Education ,NFS,NFS 33300 , Nutrition Education ,33300 ,Nutrition and Food Sciences
NFS 33500 - Institutional Management ,NFS,NFS 33500 , Institutional Management ,33500 ,Nutrition and Food Sciences
NFS 34200 - Nutrition and Human Development ,NFS,NFS 34200 , Nutrition and Human Development ,34200 ,Nutrition and Food Sciences
NFS 36100 - Food and the Consumer ,NFS,NFS 36100 , Food and the Consumer ,36100 ,Nutrition and Food Sciences
NFS 40100 - Techniques of Communication in Nutrition ,NFS,NFS 40100 , Techniques of Communication in Nutrition ,40100 ,Nutrition and Food Sciences
NFS 40200 - Seminar in Nutrition and Food Science ,NFS,NFS 40200 , Seminar in Nutrition and Food Science ,40200 ,Nutrition and Food Sciences
NFS 43100 - Experimental Foods ,NFS,NFS 43100 , Experimental Foods ,43100 ,Nutrition and Food Sciences
NFS 43400 - Nutrition and the Elderly ,NFS,NFS 43400 , Nutrition and the Elderly ,43400 ,Nutrition and Food Sciences
NFS 43500 - Food Service Systems ,NFS,NFS 43500 , Food Service Systems ,43500 ,Nutrition and Food Sciences
NFS 44100 - Community Nutrition ,NFS,NFS 44100 , Community Nutrition ,44100 ,Nutrition and Food Sciences
NFS 44351 - Practicum in Nutrition and Food Science ,NFS,NFS 44351 , Practicum in Nutrition and Food Science ,44351 ,Nutrition and Food Sciences
NFS 44352 - Practicum in Nutrition and Food Science ,NFS,NFS 44352 , Practicum in Nutrition and Food Science ,44352 ,Nutrition and Food Sciences
NFS 44354 - Practicum in Nutrition and Food Science ,NFS,NFS 44354 , Practicum in Nutrition and Food Science ,44354 ,Nutrition and Food Sciences
NFS 44355 - Practicum in Nutrition and Food Science ,NFS,NFS 44355 , Practicum in Nutrition and Food Science ,44355 ,Nutrition and Food Sciences
NFS 44356 - Practicum in Nutrition and Food Science ,NFS,NFS 44356 , Practicum in Nutrition and Food Science ,44356 ,Nutrition and Food Sciences
NFS 48031 - Independent Study in Nutrition and Food Science ,NFS,NFS 48031 , Independent Study in Nutrition and Food Science ,48031 ,Nutrition and Food Sciences
NFS 48032 - Independent Study in Nutrition and Food Science ,NFS,NFS 48032 , Independent Study in Nutrition and Food Science ,48032 ,Nutrition and Food Sciences
NFS 49000 - Honors in Nutrition and Food Science ,NFS,NFS 49000 , Honors in Nutrition and Food Science ,49000 ,Nutrition and Food Sciences
PHILO 10100 - Introduction to Philosophy ,PHILO,PHILO 10100 , Introduction to Philosophy ,10100 ,Philosophy
PHILO 10400 - Introduction to Ethics ,PHILO,PHILO 10400 , Introduction to Ethics ,10400 ,Philosophy
"PHILO 10600 - Philosophy, Politics and Society ",PHILO,PHILO 10600 ," Philosophy, Politics and Society ",10600 ,Philosophy
PHILO 17000 - Introduction to Logic and Scientific Method ,PHILO,PHILO 17000 , Introduction to Logic and Scientific Method ,17000 ,Philosophy
PHILO 24400 - Moral Philosophy  ,PHILO,PHILO 24400 , Moral Philosophy  ,24400 ,Philosophy
PHILO 24600 - Political Philosophy  ,PHILO,PHILO 24600 , Political Philosophy  ,24600 ,Philosophy
PHILO 24800 - International Ethics  ,PHILO,PHILO 24800 , International Ethics  ,24800 ,Philosophy
PHILO 25000 - Problems of Ethics and Society  ,PHILO,PHILO 25000 , Problems of Ethics and Society  ,25000 ,Philosophy
PHILO 25200 - Problems of Law and Morality ,PHILO,PHILO 25200 , Problems of Law and Morality ,25200 ,Philosophy
PHILO 25400 - Ethical Issues in Biology and Medical Care  ,PHILO,PHILO 25400 , Ethical Issues in Biology and Medical Care  ,25400 ,Philosophy
PHILO 25500 - Environmental Philosophy  ,PHILO,PHILO 25500 , Environmental Philosophy  ,25500 ,Philosophy
PHILO 25600 - Philosophical Ideas in Literature  ,PHILO,PHILO 25600 , Philosophical Ideas in Literature  ,25600 ,Philosophy
PHILO 25800 - Aesthetics  ,PHILO,PHILO 25800 , Aesthetics  ,25800 ,Philosophy
PHILO 34400 - Contemporary Theories in Ethics  ,PHILO,PHILO 34400 , Contemporary Theories in Ethics  ,34400 ,Philosophy
PHILO 34600 - Contemporary Theories of Justice  ,PHILO,PHILO 34600 , Contemporary Theories of Justice  ,34600 ,Philosophy
PHILO 34700 - Critical Philosophy of Race  ,PHILO,PHILO 34700 , Critical Philosophy of Race  ,34700 ,Philosophy
PHILO 34800 - Philosophy of Human Rights  ,PHILO,PHILO 34800 , Philosophy of Human Rights  ,34800 ,Philosophy
PHILO 21200 - Classical Greek Philosophy: Plato and Aristotle  ,PHILO,PHILO 21200 , Classical Greek Philosophy: Plato and Aristotle  ,21200 ,Philosophy
PHILO 21400 - Medieval Philosophy  ,PHILO,PHILO 21400 , Medieval Philosophy  ,21400 ,Philosophy
PHILO 21500 - Foundations of Modern Philosophy  ,PHILO,PHILO 21500 , Foundations of Modern Philosophy  ,21500 ,Philosophy
PHILO 21800 - Revolutions in Modern Philosophy  ,PHILO,PHILO 21800 , Revolutions in Modern Philosophy  ,21800 ,Philosophy
PHILO 21900 - Chinese Philosophy  ,PHILO,PHILO 21900 , Chinese Philosophy  ,21900 ,Philosophy
PHILO 22100 - Indian Philosophy  ,PHILO,PHILO 22100 , Indian Philosophy  ,22100 ,Philosophy
PHILO 22300 - Neoplatonism  ,PHILO,PHILO 22300 , Neoplatonism  ,22300 ,Philosophy
PHILO 22500 - American Philosophy  ,PHILO,PHILO 22500 , American Philosophy  ,22500 ,Philosophy
PHILO 22600 - African-American Philosophy  ,PHILO,PHILO 22600 , African-American Philosophy  ,22600 ,Philosophy
PHILO 22800 - Existentialism  ,PHILO,PHILO 22800 , Existentialism  ,22800 ,Philosophy
PHILO 31900 - Marxist and Critical Theory  ,PHILO,PHILO 31900 , Marxist and Critical Theory  ,31900 ,Philosophy
PHILO 32000 - Twentieth-Century Philosophy  ,PHILO,PHILO 32000 , Twentieth-Century Philosophy  ,32000 ,Philosophy
PHILO 27500 - Symbolic Logic ,PHILO,PHILO 27500 , Symbolic Logic ,27500 ,Philosophy
PHILO 37200 - Logic and Computers ,PHILO,PHILO 37200 , Logic and Computers ,37200 ,Philosophy
PHILO 37500 - Advanced Symbolic Logic ,PHILO,PHILO 37500 , Advanced Symbolic Logic ,37500 ,Philosophy
PHILO 37700 - Non-classical Logic ,PHILO,PHILO 37700 , Non-classical Logic ,37700 ,Philosophy
PHILO 38000 - Major Figures in Philosophy  ,PHILO,PHILO 38000 , Major Figures in Philosophy  ,38000 ,Philosophy
PHILO 38010 - Plato  ,PHILO,PHILO 38010 , Plato  ,38010 ,Philosophy
PHILO 38011 - Aristotle  ,PHILO,PHILO 38011 , Aristotle  ,38011 ,Philosophy
PHILO 38020 - Plotinus  ,PHILO,PHILO 38020 , Plotinus  ,38020 ,Philosophy
PHILO 38063 - Hume  ,PHILO,PHILO 38063 , Hume  ,38063 ,Philosophy
PHILO 38068 - Kant  ,PHILO,PHILO 38068 , Kant  ,38068 ,Philosophy
PHILO 38070 - Hegel  ,PHILO,PHILO 38070 , Hegel  ,38070 ,Philosophy
PHILO 38076 - Marx  ,PHILO,PHILO 38076 , Marx  ,38076 ,Philosophy
PHILO 38078 - Nietzsche  ,PHILO,PHILO 38078 , Nietzsche  ,38078 ,Philosophy
PHILO 38080 - Wittgenstein  ,PHILO,PHILO 38080 , Wittgenstein  ,38080 ,Philosophy
PHILO 38083 - Heidegger  ,PHILO,PHILO 38083 , Heidegger  ,38083 ,Philosophy
PHILO 38086 - Foucault  ,PHILO,PHILO 38086 , Foucault  ,38086 ,Philosophy
PHILO 20100 - Knowledge and Reality  ,PHILO,PHILO 20100 , Knowledge and Reality  ,20100 ,Philosophy
PHILO 26200 - Philosophy of Religion  ,PHILO,PHILO 26200 , Philosophy of Religion  ,26200 ,Philosophy
PHILO 26800 - Philosophical Psychology  ,PHILO,PHILO 26800 , Philosophical Psychology  ,26800 ,Philosophy
"PHILO 27000 - Philosophy, Science and Culture  ",PHILO,PHILO 27000 ," Philosophy, Science and Culture  ",27000 ,Philosophy
PHILO 36000 - Metaphysics  ,PHILO,PHILO 36000 , Metaphysics  ,36000 ,Philosophy
PHILO 36200 - Theory of Knowledge  ,PHILO,PHILO 36200 , Theory of Knowledge  ,36200 ,Philosophy
PHILO 36300 - Feminist and Social Epistemologies  ,PHILO,PHILO 36300 , Feminist and Social Epistemologies  ,36300 ,Philosophy
PHILO 36400 - Philosophy of Language  ,PHILO,PHILO 36400 , Philosophy of Language  ,36400 ,Philosophy
PHILO 36600 - Philosophy of Mind  ,PHILO,PHILO 36600 , Philosophy of Mind  ,36600 ,Philosophy
PHILO 37600 - Philosophy of Mathematics  ,PHILO,PHILO 37600 , Philosophy of Mathematics  ,37600 ,Philosophy
PHILO 37800 - Philosophy of Biology  ,PHILO,PHILO 37800 , Philosophy of Biology  ,37800 ,Philosophy
PHILO 37900 - Philosophy of Science  ,PHILO,PHILO 37900 , Philosophy of Science  ,37900 ,Philosophy
PHILO 20000 - Topics in Philosophy ,PHILO,PHILO 20000 , Topics in Philosophy ,20000 ,Philosophy
PHILO 39300 - Philosophical Systems ,PHILO,PHILO 39300 , Philosophical Systems ,39300 ,Philosophy
PHILO 39400 - Philosophical Problems ,PHILO,PHILO 39400 , Philosophical Problems ,39400 ,Philosophy
PHILO 49200 - Independent Study in Philosophy ,PHILO,PHILO 49200 , Independent Study in Philosophy ,49200 ,Philosophy
PHILO 49400 - Honors Tutorial in Philosophy ,PHILO,PHILO 49400 , Honors Tutorial in Philosophy ,49400 ,Philosophy
PHILO 49800 - Internship ,PHILO,PHILO 49800 , Internship ,49800 ,Philosophy
PHYS 10000 - Basic Concepts of Physics ,PHYS,PHYS 10000 , Basic Concepts of Physics ,10000 ,Physics
PHYS 10100 - Basic Concepts of Physics with Laboratory Exercises ,PHYS,PHYS 10100 , Basic Concepts of Physics with Laboratory Exercises ,10100 ,Physics
"PHYS 11000  - General Physics: Introductory Course in Mechanics, Heat, and Sound ",PHYS,PHYS 11000  ," General Physics: Introductory Course in Mechanics, Heat, and Sound ",11000  ,Physics
"PHYS 11100  - General Physics: Introductory Course in Mechanics, Heat, and Sound ",PHYS,PHYS 11100  ," General Physics: Introductory Course in Mechanics, Heat, and Sound ",11100  ,Physics
"PHYS 12000  - General Physics: Introductory Course in Electricity and Magnetism, Light, and Atomic Physics ",PHYS,PHYS 12000  ," General Physics: Introductory Course in Electricity and Magnetism, Light, and Atomic Physics ",12000  ,Physics
"PHYS 12100  - General Physics: Introductory Course in Electricity and Magnetism, Light, and Atomic Physics ",PHYS,PHYS 12100  ," General Physics: Introductory Course in Electricity and Magnetism, Light, and Atomic Physics ",12100  ,Physics
PHYS 19000 - Tutorial in Mathematical Physics ,PHYS,PHYS 19000 , Tutorial in Mathematical Physics ,19000 ,Physics
PHYS 20400 - Electrical Circuits and Laboratory ,PHYS,PHYS 20400 , Electrical Circuits and Laboratory ,20400 ,Physics
PHYS 22100 - Electronics ,PHYS,PHYS 22100 , Electronics ,22100 ,Physics
PHYS 22200 - Electronics Laboratory ,PHYS,PHYS 22200 , Electronics Laboratory ,22200 ,Physics
PHYS 22400 - Analog and Digital Electronics and Laboratory ,PHYS,PHYS 22400 , Analog and Digital Electronics and Laboratory ,22400 ,Physics
PHYS 23000 - Classical Physics Laboratory ,PHYS,PHYS 23000 , Classical Physics Laboratory ,23000 ,Physics
PHYS 23100 - Fundamentals of Laser and Fiber Optics ,PHYS,PHYS 23100 , Fundamentals of Laser and Fiber Optics ,23100 ,Physics
PHYS 23200 - Laser and Electro-Optics Technology ,PHYS,PHYS 23200 , Laser and Electro-Optics Technology ,23200 ,Physics
"PHYS 23300 - Laser Electro-Optics Devices, Measurements and Applications ",PHYS,PHYS 23300 ," Laser Electro-Optics Devices, Measurements and Applications ",23300 ,Physics
"PHYS 23400 - Fiber Optics Devices, Measurements, and Applications ",PHYS,PHYS 23400 ," Fiber Optics Devices, Measurements, and Applications ",23400 ,Physics
PHYS 23500 - Modern Physics Laboratory ,PHYS,PHYS 23500 , Modern Physics Laboratory ,23500 ,Physics
PHYS 30100 - Theoretical Physics ,PHYS,PHYS 30100 , Theoretical Physics ,30100 ,Physics
PHYS 31100 - Introduction to Fluid Mechanics ,PHYS,PHYS 31100 , Introduction to Fluid Mechanics ,31100 ,Physics
PHYS 33000 - Atomic and Nuclear Physics ,PHYS,PHYS 33000 , Atomic and Nuclear Physics ,33000 ,Physics
PHYS 33400 - Intermediate Electricity and Magnetism ,PHYS,PHYS 33400 , Intermediate Electricity and Magnetism ,33400 ,Physics
PHYS 33500 - Intermediate Mechanics ,PHYS,PHYS 33500 , Intermediate Mechanics ,33500 ,Physics
PHYS 33600 - Thermodynamics and Statistical Mechanics ,PHYS,PHYS 33600 , Thermodynamics and Statistical Mechanics ,33600 ,Physics
PHYS 34200 - Optics ,PHYS,PHYS 34200 , Optics ,34200 ,Physics
PHYS 38500 - Numerical Methods I ,PHYS,PHYS 38500 , Numerical Methods I ,38500 ,Physics
PHYS 39900 - Senior Thesis  ,PHYS,PHYS 39900 , Senior Thesis  ,39900 ,Physics
PHYS 41100 - Theoretical Mechanics ,PHYS,PHYS 41100 , Theoretical Mechanics ,41100 ,Physics
PHYS 41500 - Electromagnetic Theory ,PHYS,PHYS 41500 , Electromagnetic Theory ,41500 ,Physics
PHYS 41600 - Electromagnetic Theory II ,PHYS,PHYS 41600 , Electromagnetic Theory II ,41600 ,Physics
PHYS 42000 - Introduction to Biophysics ,PHYS,PHYS 42000 , Introduction to Biophysics ,42000 ,Physics
PHYS 42400 - Plasma Physics ,PHYS,PHYS 42400 , Plasma Physics ,42400 ,Physics
PHYS 42500 - Quantum Theory ,PHYS,PHYS 42500 , Quantum Theory ,42500 ,Physics
PHYS 42700 - Intermediate Physics Laboratory ,PHYS,PHYS 42700 , Intermediate Physics Laboratory ,42700 ,Physics
PHYS 42800 - Photonics and Laboratory ,PHYS,PHYS 42800 , Photonics and Laboratory ,42800 ,Physics
PHYS 44500 - Solid State Physics ,PHYS,PHYS 44500 , Solid State Physics ,44500 ,Physics
PHYS 45300 - Introduction to Research ,PHYS,PHYS 45300 , Introduction to Research ,45300 ,Physics
PHYS 45400 - Introduction to Research ,PHYS,PHYS 45400 , Introduction to Research ,45400 ,Physics
PHYS 48500 - Numerical Methods II ,PHYS,PHYS 48500 , Numerical Methods II ,48500 ,Physics
PHYS 24000 - Physics of Biological Systems ,PHYS,PHYS 24000 , Physics of Biological Systems ,24000 ,Physics
PHYS 24500 - Computer Applications in Physical Sciences ,PHYS,PHYS 24500 , Computer Applications in Physical Sciences ,24500 ,Physics
PHYS 28000 - Astrophysics ,PHYS,PHYS 28000 , Astrophysics ,28000 ,Physics
PHYS 36000 - Atomic and Nuclear Physics for Engineers ,PHYS,PHYS 36000 , Atomic and Nuclear Physics for Engineers ,36000 ,Physics
PHYS 36400 - Electricity and Magnetism for Engineers ,PHYS,PHYS 36400 , Electricity and Magnetism for Engineers ,36400 ,Physics
PHYS 36500 - Analytical Mechanics ,PHYS,PHYS 36500 , Analytical Mechanics ,36500 ,Physics
PHYS 40300 - Topics in Modern Physics ,PHYS,PHYS 40300 , Topics in Modern Physics ,40300 ,Physics
"POLSC 10000 - Introduction to Politics: Democracy, Anarchy and the State  ",POLSC,POLSC 10000 ," Introduction to Politics: Democracy, Anarchy and the State  ",10000 ,Political Science
POLSC 11000 - American Government: A Historical Introduction  ,POLSC,POLSC 11000 , American Government: A Historical Introduction  ,11000 ,Political Science
